establishment_name|plataforma|estrellas|review_text|categoria_sentimiento|edad|sexo
MAMABEL'S|Expedia|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|30|Mujer
HOSPEDERIA MONTES|Booking|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|61|Hombre
HOSPEDERIA MONTES|Google Maps|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|32|Hombre
HOSPEDERIA MONTES|Trivago|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|53|Hombre
START|Google Maps|3|Precio acorde a lo que ofrecen. Comida casera y raciones normales, una experiencia estándar sin pretensiones.|Neutral|62|Hombre
START|Trivago|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|45|Mujer
START|TripAdvisor|3|Un establecimiento correcto con un menú de comida casera a precio razonable. El personal cumple sin destacar en nada.|Neutral|32|Mujer
CABOACTIVO|TripAdvisor|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|23|Mujer
CABOACTIVO|Expedia|3|Ubicación céntrica ideal para comer algo rápido. Tienen comida casera típica de la zona, un servicio normal ni bueno ni malo.|Neutral|41|Hombre
PARRA TRAVEL (CENTRAL)|Booking|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|52|Mujer
PARRA TRAVEL (CENTRAL)|Booking|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|28|Mujer
FLAMENCO|Expedia|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|51|Hombre
FLAMENCO|Trivago|2|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|61|Mujer
LA ABUVILLA|TripAdvisor|4|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|29|Hombre
LA ABUVILLA|Google Maps|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|71|Hombre
LA ABUVILLA|Expedia|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|32|Mujer
CORTIJO TORREBLANCA- CASA AZULETE|TripAdvisor|3|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|57|Hombre
CORTIJO TORREBLANCA- CASA AZULETE|Expedia|1|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|37|Mujer
LA CORTIJADA|Booking|5|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|38|Mujer
LA CORTIJADA|Booking|2|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|30|Hombre
FENIX|TripAdvisor|2|La comida del buffet estaba buenísima, pero la limpieza de la habitación el primer día fue inexistente. Te quedas con sentimientos encontrados.|Inconclusa|69|Mujer
FENIX|TripAdvisor|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|58|Hombre
FENIX|Booking|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|41|Mujer
CELEMIN & FORMACIÓN|Google Maps|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|33|Hombre
CELEMIN & FORMACIÓN|Expedia|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|50|Hombre
LOS GALLARDOS|Booking|2|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|62|Hombre
LOS GALLARDOS|Trivago|2|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|66|Hombre
CASA DE LOS ARCOS|Trivago|4|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|18|Mujer
CASA DE LOS ARCOS|Google Maps|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|46|Hombre
VALLE DEL ALMANZORA|Booking|3|Un establecimiento correcto con un menú de comida casera a precio razonable. El personal cumple sin destacar en nada.|Neutral|40|Mujer
VALLE DEL ALMANZORA|Expedia|4|La comida del buffet estaba buenísima, pero la limpieza de la habitación el primer día fue inexistente. Te quedas con sentimientos encontrados.|Inconclusa|38|Mujer
VALLE DEL ALMANZORA|Booking|2|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|65|Mujer
DONATO|Expedia|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|30|Mujer
DONATO|TripAdvisor|2|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|51|Hombre
DONATO|TripAdvisor|1|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|56|Mujer
EL CORTIJO DE RAUL|Trivago|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|75|Hombre
EL CORTIJO DE RAUL|Google Maps|3|Cumple con lo básico. Una taberna tradicional de comida casera con un trato del personal simplemente cordial.|Neutral|27|Mujer
CORTIJO EL PARAISO|Google Maps|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|32|Mujer
CORTIJO EL PARAISO|Expedia|5|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|28|Mujer
CORTIJO EL PARAISO|Booking|3|Estancia pasable. Es un sitio de paso correcto, la comida es casera y tradicional pero el local necesita una reforma.|Neutral|32|Mujer
VIAJES. D PARTIDA (CENTRAL)|Booking|4|Nos ha encantado todo. Un ambiente muy acogedor, todo muy limpio y ordenado. Altamente recomendado para familias.|Positiva|44|Mujer
VIAJES. D PARTIDA (CENTRAL)|Expedia|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|74|Mujer
LA SOCIEDAD|TripAdvisor|3|El sitio está bien situado, sirven comida casera aceptable pero el servicio es algo lento. Las instalaciones son estándar.|Neutral|64|Hombre
LA SOCIEDAD|Expedia|4|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|28|Mujer
TORREON|Expedia|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|33|Mujer
TORREON|Trivago|2|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|31|Hombre
CASAS MARIA CARMONA 3|Booking|3|Un lugar de comida casera normal y corriente. El menú del día es aceptable por el precio, sin grandes lujos.|Neutral|58|Mujer
CASAS MARIA CARMONA 3|Expedia|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|34|Mujer
CASAS MARIA CARMONA 3|TripAdvisor|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|59|Hombre
BEST MOJACAR|Google Maps|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|28|Mujer
BEST MOJACAR|Trivago|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|29|Hombre
FLANDRIA INTERNACIONAL TRAVEL|Booking|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|69|Hombre
FLANDRIA INTERNACIONAL TRAVEL|Expedia|5|Nos ha encantado todo. Un ambiente muy acogedor, todo muy limpio y ordenado. Altamente recomendado para familias.|Positiva|20|Mujer
OLYMPIA MEDITERRANEO|TripAdvisor|3|Estancia pasable. Es un sitio de paso correcto, la comida es casera y tradicional pero el local necesita una reforma.|Neutral|41|Hombre
OLYMPIA MEDITERRANEO|Trivago|1|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|22|Mujer
CORTIJO EL VIENTO|Expedia|1|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|23|Hombre
CORTIJO EL VIENTO|Google Maps|4|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|61|Hombre
CORTIJO EL VIENTO|Expedia|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|40|Hombre
PROTUR ROQUETAS HOTEL & SPA|Booking|3|Un lugar de comida casera normal y corriente. El menú del día es aceptable por el precio, sin grandes lujos.|Neutral|40|Hombre
PROTUR ROQUETAS HOTEL & SPA|Google Maps|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|41|Hombre
CORTIJO LA MOLINA|Booking|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|72|Mujer
CORTIJO LA MOLINA|Booking|3|Un establecimiento correcto con un menú de comida casera a precio razonable. El personal cumple sin destacar en nada.|Neutral|35|Mujer
CERO OCHO|Trivago|3|El sitio está bien situado, sirven comida casera aceptable pero el servicio es algo lento. Las instalaciones son estándar.|Neutral|75|Hombre
CERO OCHO|Google Maps|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|59|Mujer
CABO MAR|Booking|5|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|48|Mujer
CABO MAR|Expedia|5|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|29|Mujer
PARAISO TOUR VIAJES|TripAdvisor|3|Precio acorde a lo que ofrecen. Comida casera y raciones normales, una experiencia estándar sin pretensiones.|Neutral|57|Mujer
PARAISO TOUR VIAJES|Expedia|4|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|25|Mujer
PARAISO TOUR VIAJES|Booking|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|70|Hombre
ALEGRIA CABO DE GATA|Expedia|3|Ubicación céntrica ideal para comer algo rápido. Tienen comida casera típica de la zona, un servicio normal ni bueno ni malo.|Neutral|52|Mujer
ALEGRIA CABO DE GATA|Booking|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|41|Mujer
HOTEL CARBONERAS CABO DE GATA|TripAdvisor|2|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|23|Mujer
HOTEL CARBONERAS CABO DE GATA|Booking|3|Instalaciones normales y limpias. Ofrecen raciones y platos combinados de cocina casera aceptable. El desayuno es básico.|Neutral|40|Mujer
HOTEL CARBONERAS CABO DE GATA|Trivago|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|62|Mujer
LA ALACENA DE LAUJAR|Expedia|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|38|Mujer
LA ALACENA DE LAUJAR|Expedia|2|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|26|Mujer
CUATRO VIENTOS|Booking|4|Nos ha encantado todo. Un ambiente muy acogedor, todo muy limpio y ordenado. Altamente recomendado para familias.|Positiva|37|Hombre
CUATRO VIENTOS|Booking|3|Está bien para parar en ruta y tomar un menú de comida casera rápido. Instalaciones pasables y ambiente familiar.|Neutral|73|Mujer
CORTIJO EL ALAMO|TripAdvisor|3|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|43|Mujer
CORTIJO EL ALAMO|TripAdvisor|1|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|32|Mujer
CENTRO BUCEO MOJACAR|Expedia|5|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|74|Hombre
CENTRO BUCEO MOJACAR|Trivago|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|58|Mujer
CENTRO BUCEO MOJACAR|Trivago|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|66|Mujer
VIAJES NARILA|Expedia|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|74|Hombre
VIAJES NARILA|TripAdvisor|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|71|Mujer
EL DORADO|Booking|2|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|71|Hombre
EL DORADO|TripAdvisor|2|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|54|Mujer
EL DORADO|Google Maps|3|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|22|Hombre
BUCEO AGUADULCE|Trivago|4|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|27|Mujer
BUCEO AGUADULCE|TripAdvisor|1|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|53|Mujer
BUCEO AGUADULCE|TripAdvisor|4|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|63|Mujer
ESPERANZA|TripAdvisor|3|Cumple con lo básico. Una taberna tradicional de comida casera con un trato del personal simplemente cordial.|Neutral|36|Mujer
ESPERANZA|Expedia|3|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|33|Hombre
FELIPE|Trivago|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|31|Hombre
FELIPE|Booking|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|29|Mujer
FELIPE|Expedia|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|39|Mujer
CAMPING VALLE DEL ANDARAX|TripAdvisor|2|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|74|Mujer
CAMPING VALLE DEL ANDARAX|Expedia|1|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|32|Hombre
CAMPING VALLE DEL ANDARAX|Booking|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|33|Hombre
EL NACIMIENTO DEL RINCON|Booking|3|Instalaciones normales y limpias. Ofrecen raciones y platos combinados de cocina casera aceptable. El desayuno es básico.|Neutral|73|Mujer
EL NACIMIENTO DEL RINCON|Trivago|2|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|65|Hombre
EL NACIMIENTO DEL RINCON|TripAdvisor|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|69|Mujer
CUADRADO|Expedia|2|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|40|Hombre
CUADRADO|Booking|3|Cumple con lo básico. Una taberna tradicional de comida casera con un trato del personal simplemente cordial.|Neutral|45|Mujer
METIRONOMETIRO|Expedia|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|33|Hombre
METIRONOMETIRO|Expedia|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|70|Mujer
LA ERA|Trivago|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|43|Mujer
LA ERA|Booking|4|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|29|Hombre
LA ERA|Trivago|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|39|Hombre
VILLA LOLI I|Trivago|3|Un establecimiento correcto con un menú de comida casera a precio razonable. El personal cumple sin destacar en nada.|Neutral|60|Hombre
VILLA LOLI I|Booking|4|La comida del buffet estaba buenísima, pero la limpieza de la habitación el primer día fue inexistente. Te quedas con sentimientos encontrados.|Inconclusa|19|Mujer
VILLA LOLI I|Google Maps|4|La comida del buffet estaba buenísima, pero la limpieza de la habitación el primer día fue inexistente. Te quedas con sentimientos encontrados.|Inconclusa|74|Mujer
CORTIJO DE LA CUEVA|Expedia|4|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|28|Hombre
CORTIJO DE LA CUEVA|Trivago|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|54|Mujer
VIAJES AGORA   (CENTRAL)|Google Maps|1|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|52|Hombre
VIAJES AGORA   (CENTRAL)|Google Maps|3|El sitio está bien situado, sirven comida casera aceptable pero el servicio es algo lento. Las instalaciones son estándar.|Neutral|58|Hombre
AGUADULCE|Expedia|1|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|48|Mujer
AGUADULCE|Expedia|4|Nos ha encantado todo. Un ambiente muy acogedor, todo muy limpio y ordenado. Altamente recomendado para familias.|Positiva|23|Hombre
DON FELIPE|Booking|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|40|Hombre
DON FELIPE|Trivago|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|47|Hombre
DON FELIPE|TripAdvisor|4|Nos ha encantado todo. Un ambiente muy acogedor, todo muy limpio y ordenado. Altamente recomendado para familias.|Positiva|69|Hombre
EL CERRILLO|Trivago|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|74|Mujer
EL CERRILLO|Expedia|1|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|26|Hombre
EL CERRILLO|Booking|4|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|53|Hombre
AIRE ANCIENT BATH|Expedia|4|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|29|Hombre
AIRE ANCIENT BATH|Booking|2|Servicio lamentable, tardaron más de una hora para hacernos el check-in. La comida estaba fría y el personal fue antipático.|Negativa|66|Hombre
AIRE ANCIENT BATH|Expedia|2|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|58|Mujer
